"","st_fips","cty_fips","pop","mcare_elig","unemp","pct_pov","uninsured","median_inc","mcare_enroll","year"
"240",6,99,518522,69582,16.8,23.3,20.1,44287,56011,2011
"241",6,101,94919,14260,18.8,15.8,21.5,48749,11681,2011
"242",6,103,63601,13064,15,19.5,21.2,37297,8736,2011
"243",6,105,13723,3373,17.8,21.4,19.8,33163,4120,2011
"244",6,107,449253,51446,16.6,25.6,24.2,40599,41308,2011
"245",6,109,54953,13240,13,16.6,15.9,43530,11148,2011
"246",6,111,831771,114077,10.1,11.5,18.5,74019,99864,2011
"247",6,113,202054,23644,12.4,21.3,16.6,50174,20128,2011
"248",6,115,72578,10163,18.2,19.6,18.6,43299,7331,2011
"249",8,1,451443,45682,9.7,16.1,21.6,52429,36562,2011
"250",8,3,15710,2292,8.1,22.7,20,36870,1881,2011
"251",8,5,584948,67911,8.2,12,17.7,57042,64600,2011
"252",8,7,12013,2446,9.2,14.9,20.3,48043,2118,2011
"253",8,9,3795,993,3.9,20.5,21.8,34168,891,2011
"254",8,11,6250,942,7.6,32.4,17.4,35522,729,2011
"255",8,13,299378,35488,6.2,13.8,14.8,68101,36384,2011
"256",8,14,57352,6572,7.3,6.5,11.2,79051,5616,2011
"257",8,15,17932,4108,7.2,12.9,19.5,44156,3628,2011
"258",8,17,1876,314,3.1,12.9,22.8,46965,272,2011
"259",8,19,9012,1242,7.3,8.9,13.2,65420,656,2011
"260",8,21,8291,1588,9.5,19.8,22.3,32588,1202,2011
"261",8,23,3662,947,12.6,26,28.8,26125,793,2011
"262",8,25,5736,731,9.4,48.1,18,30279,536,2011
"263",8,27,4205,1094,6.5,15.6,22.2,45791,938,2011
"264",8,29,30451,7155,9.1,16.6,21.7,41442,6356,2011
"265",8,31,619968,74859,9.1,18.7,19.6,47584,62968,2011
"266",8,33,2056,451,11.4,13.3,25.1,39650,361,2011
"267",8,35,292167,25304,6.4,4.3,7.7,95973,13720,2011
"268",8,37,51854,3327,8.6,9.8,23,67190,2835,2011
"269",8,39,23174,2741,7.3,7.9,13.5,78029,2324,2011
"270",8,41,636963,76650,9.2,13.2,15.4,54857,63103,2011
"271",8,43,47347,9845,10,18,17.7,41493,8192,2011
"272",8,45,56270,5547,8.8,10.7,24.6,57617,5230,2011
"273",8,47,5467,603,6.5,7.8,10.2,60537,371,2011
"274",8,49,14548,1652,8.2,10.4,19.6,56980,1431,2011
"275",8,51,15408,1623,6.4,17.9,23.6,43069,1317,2011
"276",8,53,830,177,3.7,10.7,23,49024,157,2011
"277",8,55,6520,1940,11.3,22,20.1,30655,1535,2011
"278",8,57,1370,289,3.9,16.1,25.1,43206,261,2011
"279",8,59,539884,79357,7.9,9,13.9,64412,69324,2011
"280",8,61,1433,305,3.9,12.6,18,41427,285,2011
"281",8,63,8142,1434,4.8,16.2,24.6,43078,1226,2011
"282",8,65,7427,725,11.6,16.4,27.2,42768,579,2011
"283",8,67,51917,7084,6.8,11.1,20.4,52276,6260,2011
"284",8,69,305525,42554,6.8,13.8,15,55501,36421,2011
"285",8,71,15037,3284,9.8,19.5,19.4,40191,2715,2011
"286",8,73,5454,897,4.9,17.7,19.5,42734,782,2011
"287",8,75,22619,3677,6.6,18,19.4,43823,3029,2011
