"","st_fips","cty_fips","pop","mcare_elig","unemp","pct_pov","median_inc","mcare_enroll","year","uninsured"
"162",12,57,1291578,191996,7,16.8,49510,157224,2013,20.5
"163",12,59,19717,4607,6.1,27.5,33220,3392,2013,21.5
"164",12,61,141994,40833,9.1,14.1,44326,36753,2013,26.5
"165",12,63,48922,10537,5.9,26.3,36332,8526,2013,18
"166",12,65,14194,3129,6.2,19.6,39494,2496,2013,20
"167",12,67,8848,977,6.6,25.2,37120,779,2013,28
"168",12,69,308034,82644,7.5,14.5,44244,114525,2013,21.3
"169",12,71,661115,151492,7.1,16.3,46605,133035,2013,27
"170",12,73,281845,34844,6,21.7,46975,29075,2013,17.3
"171",12,75,39644,10250,8.1,23.6,33193,7406,2013,26.3
"172",12,77,8349,1242,6,27.7,36561,907,2013,22.4
"173",12,79,18728,3860,9,28.9,30391,3109,2013,20.3
"174",12,81,342106,79329,7.1,16,48066,62977,2013,24.5
"175",12,83,337362,97795,8.3,19.6,38783,84300,2013,24.2
"176",12,85,151263,39575,7.6,13.5,51159,36385,2013,23.1
"177",12,86,2617176,407225,8.4,21,41840,361344,2013,33.1
"178",12,87,76351,14734,4.2,16.8,50380,12906,2013,27.5
"179",12,89,75710,16029,6.2,13.4,56987,13353,2013,17.3
"180",12,91,193811,33560,5.2,13.4,54265,29129,2013,19.1
"181",12,93,39330,7414,8.7,25.7,35954,6766,2013,28.8
"182",12,95,1225267,149595,6.8,18.2,46675,124772,2013,24.1
"183",12,97,298504,43436,7.5,20.7,41592,38537,2013,26.6
"184",12,99,1372171,278375,7.3,15,51768,257959,2013,25.4
"185",12,101,475502,108983,8.1,13.5,45454,88255,2013,21
"186",12,103,929048,212605,7.1,15.1,43773,181887,2013,21.9
"187",12,105,623009,127835,8.2,19.3,42447,100151,2013,23.8
"188",12,107,72577,17372,9.4,26.9,32852,13293,2013,24.5
"189",12,109,209647,39784,5.6,9.6,66312,36577,2013,15.6
"190",12,111,286832,63168,9.7,19,42825,51581,2013,25.6
"191",12,113,161096,27259,6.6,13.8,54876,22160,2013,18.3
"192",12,115,390429,117242,7,13,48717,120225,2013,23.2
"193",12,117,436041,65475,6.4,12.9,55195,50960,2013,19.4
"194",12,119,107056,53767,5.9,12,52670,12526,2013,18.2
"195",12,121,43734,10128,6.6,24.6,35666,8008,2013,24.1
"196",12,123,22857,4427,8.2,23.9,38370,3415,2013,19.5
"197",12,125,15136,1909,6.1,23.8,40841,1465,2013,16.1
"198",12,127,500800,122779,7.3,16.6,40908,106383,2013,24
"199",12,129,31022,4769,5.9,15.9,47430,4588,2013,18
"200",12,131,59807,11351,4.5,19.3,45357,7889,2013,24.4
"201",12,133,24624,5185,8.2,23.4,35671,3567,2013,20.1
"202",12,1,256380,37434,5.2,21.6,44325,33346,2014,16.6
"203",12,3,27093,4282,6.3,19.6,47121,3156,2014,15.4
"204",12,5,178985,34191,6.3,15.6,44800,28865,2014,18.7
"205",12,7,26702,5151,5.6,22.6,39980,3601,2014,17.1
"206",12,9,556885,135515,6.9,14.5,47973,116137,2014,17.7
"207",12,11,1869235,282197,5.8,14.5,51485,245630,2014,20.8
"208",12,13,14532,2647,6.9,22.3,35256,2072,2014,19.8
"209",12,15,168474,57516,6.7,11.9,43242,46643,2014,20.7
"210",12,17,139377,51527,8.5,20.1,36383,40738,2014,18.6
"211",12,19,199798,34150,5.7,10.9,58539,25127,2014,14.3
"212",12,21,348777,82582,5.9,14.3,58403,77965,2014,26.5
"213",12,23,67857,13813,6.5,21.7,38484,11248,2014,17
"214",12,27,35012,6387,7.1,29.7,36945,5201,2014,30.8
"215",12,29,15907,3868,7.5,27.1,32121,2893,2014,18.9
"216",12,31,897698,138506,6.7,18.2,46013,113201,2014,15.6
"217",12,33,310659,61972,6.3,15.3,46139,49496,2014,15.8
"218",12,35,102408,30461,7.5,11.6,51556,25966,2014,18.6
"219",12,37,11815,2548,5.5,25.3,36788,2094,2014,18.9
"220",12,39,46281,9189,8,25.6,35849,6969,2014,20
"221",12,41,16997,3520,6.5,19.8,40788,2845,2014,22.1
"222",12,43,13635,2213,7.2,21.1,38783,1118,2014,28.2
"223",12,45,15944,3287,6,23.1,38419,2909,2014,18.9
"224",12,47,14048,2650,7.8,31.7,31734,2178,2014,17.8
"225",12,49,27469,4012,7.7,29.9,35371,3271,2014,27.2
"226",12,51,38505,5087,10.6,25.3,38494,4364,2014,28.9
"227",12,53,175855,52557,7.9,15.3,40094,45688,2014,18.8
"228",12,55,98236,29986,8.2,19.5,35787,26576,2014,25.1
"229",12,57,1316298,200222,5.8,16.8,50758,164473,2014,17.8
"230",12,59,19650,4685,6.8,26.7,35651,3427,2014,18.9
"231",12,61,144755,42657,7.8,14.7,47548,38513,2014,22.8
"232",12,63,48801,10684,6.4,24.3,36876,8658,2014,16
"233",12,65,14050,3177,6.5,18,40205,2572,2014,17.3
"234",12,67,8835,998,5.2,25.6,38071,788,2014,24.2
"235",12,69,315690,85907,6.4,13.8,46895,119218,2014,20
"236",12,71,679513,159250,6,16,49147,140406,2014,23.5
"237",12,73,283988,36652,5.5,23.3,45463,30684,2014,13.8
"238",12,75,39613,10483,6.9,21.2,37433,7654,2014,22.6
"239",12,77,8360,1267,6.5,24.7,38473,940,2014,18.4
"240",12,79,18518,3906,7.4,27.7,33017,3163,2014,18.4
"241",12,81,351746,82891,5.7,14.1,51673,66059,2014,20.9
"242",12,83,339167,100422,7.3,17.8,39860,86650,2014,21.4
"243",12,85,153392,40641,6.1,12.1,55472,37406,2014,19.9
"244",12,86,2662874,418177,6.8,20.4,42754,370840,2014,25.5
"245",12,87,77136,15316,4.1,14,57411,13551,2014,22.5
"246",12,89,76619,16952,5.8,11.7,56728,14242,2014,14.7
"247",12,91,196512,34858,5.1,12.4,55952,30247,2014,16.5
"248",12,93,39149,7597,7.3,25.9,37065,6942,2014,27.1
"249",12,95,1253001,157008,5.8,18.2,47069,130857,2014,20.2
"250",12,97,310211,46367,6.7,19.3,42945,41298,2014,21.8
"251",12,99,1397710,286114,5.9,14.9,52225,265189,2014,21.2
"252",12,101,485331,112707,6.7,14.7,45219,91210,2014,18.1
"253",12,103,938098,218130,5.8,15.2,45162,186847,2014,17.7
"254",12,105,634638,132554,7.1,18.1,42768,103398,2014,19.6
"255",12,107,72143,17548,8.7,28.5,32054,13515,2014,21.6
"256",12,109,217919,42258,4.7,8.2,66560,39318,2014,13.2
"257",12,111,291028,65756,8,17.3,42722,53935,2014,21
"258",12,113,163422,28512,5.4,11.2,58587,23304,2014,15.1
"259",12,115,396962,121623,5.8,10.8,52109,124882,2014,19.8
"260",12,117,442516,68586,5.6,11.8,56443,53503,2014,15.5
"261",12,119,114350,58076,7.7,10.9,51907,15174,2014,16.1
"262",12,121,44022,10300,6.2,23.7,38177,8158,2014,21
"263",12,123,22582,4528,7,23.4,36374,3509,2014,17.5
"264",12,125,15190,1956,6,24.3,40207,1515,2014,14.8
"265",12,127,507531,127042,6.7,17.7,40881,110204,2014,21.4
"266",12,129,31432,4969,5.2,15.1,51642,4752,2014,14.8
"267",12,131,61530,11987,5.3,15.8,46867,8367,2014,21.7
"268",12,133,24451,5277,6.7,20,36482,3642,2014,19
"269",12,1,259964,39031,4.5,21.1,47023,34905,2015,12.6
"270",12,3,27420,4372,5.4,16.8,50883,3256,2015,11.8
"271",12,5,181635,35182,5.4,16.5,47745,29899,2015,13.8
"272",12,7,26928,5286,4.8,21.3,40879,3709,2015,13.3
"273",12,9,568088,139987,5.9,13.4,50352,120056,2015,13.5
"274",12,11,1896425,290649,5,14,53624,253648,2015,16.5
"275",12,13,14462,2677,6.1,22.2,36062,2086,2015,16.3
"276",12,15,173115,59867,5.9,12.4,45495,48637,2015,16.8
"277",12,17,141058,52799,7.4,17.5,39982,41668,2015,14.9
"278",12,19,203967,35817,4.9,11.6,59244,26456,2015,11.9
"279",12,21,357305,86400,5.2,13.6,62385,81595,2015,23.2
"280",12,23,68348,14151,5.4,19.7,43303,11554,2015,12.5
"281",12,27,35458,6548,6,30.5,34380,5339,2015,25.7
"282",12,29,16203,3928,6.1,29.3,35749,2967,2015,14.3
"283",12,31,913010,143924,5.7,16,49565,118087,2015,13.2
"284",12,33,311003,63786,5.6,15.4,45735,50975,2015,12.7
"285",12,35,105392,31932,6.2,11.7,50347,27384,2015,15.8
"286",12,37,11761,2655,4.6,23.7,38220,2207,2015,17.1
"287",12,39,46036,9374,7,24.5,36637,7188,2015,16.5
"288",12,41,17199,3607,5.5,19.2,39342,2909,2015,18.6
"289",12,43,13670,2285,7.1,22.1,40215,1166,2015,26.2
"290",12,45,15871,3430,5.1,21.9,41320,3032,2015,14.3
"291",12,47,14295,2690,5.1,31.8,33497,2261,2015,14.7
"292",12,49,27502,4122,6.7,25.9,35850,3370,2015,21.8
"293",12,51,39119,5325,10.3,25.8,39320,4519,2015,26
"294",12,53,178439,54036,6.8,14.3,43103,46797,2015,15.6
"295",12,55,99491,30845,7.4,22.9,34691,27290,2015,18.3
"296",12,57,1349050,208116,5,15.8,51710,171754,2015,14.7
"297",12,59,19324,4710,6.2,25.9,35202,3445,2015,16.7
"298",12,61,147919,44824,6.8,13,49887,40314,2015,19.4
"299",12,63,48599,10796,5.8,22.5,36751,8800,2015,13.7
"300",12,65,14081,3257,5.8,19.4,42210,2677,2015,14.1
"301",12,67,8663,1007,4.5,23.8,40345,803,2015,22
"302",12,69,325875,89264,5.4,12.8,49711,123550,2015,14.4
"303",12,71,701982,167152,5,15.9,50713,147878,2015,19.9
"304",12,73,286272,38578,5,21.8,46405,32459,2015,11.4
"305",12,75,39832,10677,5.7,22.1,36005,7881,2015,17.4
"306",12,77,8331,1278,5.7,22.6,39623,951,2015,14.5
"307",12,79,18408,4023,6.2,27,34360,3253,2015,15.7
"308",12,81,363369,86589,5,14.8,50728,69325,2015,18.1
"309",12,83,343254,102954,6.4,18.7,40053,88965,2015,16.6
"310",12,85,156283,41947,5.2,11.2,53459,38684,2015,16.7
"311",12,86,2693117,430071,6.1,20,43687,382005,2015,21.2
"312",12,87,77482,15906,3.5,11.3,58332,14130,2015,20
"313",12,89,78444,17877,5,10.8,55707,15151,2015,12.1
"314",12,91,198664,36112,4.5,11.3,55391,31327,2015,12.6
"315",12,93,39469,7809,6.2,23.2,35787,7138,2015,23.9
"316",12,95,1288126,163910,4.9,15.6,50593,137259,2015,15.7
"317",12,97,323993,49344,5.7,18.5,45127,44331,2015,17.6
"318",12,99,1422789,293296,5,13.5,56638,272030,2015,17.2
"319",12,101,497909,116635,5.8,14.6,46080,94464,2015,14
"320",12,103,949827,224006,4.9,13.6,47591,192133,2015,14.3
"321",12,105,650092,137149,6.2,17.3,44024,106982,2015,15.4
"322",12,107,72023,17916,7.2,27.3,32351,13808,2015,17.2
"323",12,109,226640,45024,3.9,9.8,71896,42298,2015,10.1
"324",12,111,298563,68477,6.2,16.4,45918,56298,2015,18.2
"325",12,113,167040,29846,4.8,12.3,59289,24489,2015,11.7
