"","mcrnum","cmi","year"
"165","030087",1.58517562230309,2006
"166","030088",1.39408321360476,2006
"167","030089",1.55522599102444,2006
"168","030092",1.38199528851242,2006
"169","030093",1.23768068073759,2006
"170","030094",1.36041720029782,2006
"171","030099",0.905847389558231,2006
"172","030100",1.98575586176721,2006
"173","030101",1.39904393099192,2006
"174","030102",2.48720285956944,2006
"175","030103",1.65753991725579,2006
"176","030105",2.36755073061057,2006
"177","030106",1.53296611445781,2006
"178","030107",2.11568981723236,2006
"179","030108",2.04724,2006
"180","030109",2.0561625,2006
"181","030110",1.08864978586722,2006
"182","030111",0.808151456310678,2006
"183","030112",1.76325,2006
"184","040001",1.06604217527384,2006
"185","040002",1.13329132007231,2006
"186","040003",1.06116582677164,2006
"187","040004",1.54335091010377,2006
"188","040007",1.67695771188568,2006
